bvid,title,accepted,exclusion_reasons,caption_count,coverage_ratio,restaurant_signal,financial_signal,unrelated_signal,title_body_alignment,dimensions,path
BV1KSKF6hE66,工厂里开养生馆！主打中药茶饮+手搓养生丸。勇哥：谁会到你这里来养生？@勇哥餐饮原创,True,,272,1.0,40,10,0,1,毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1KSKF6hE66.srt
BV1syKE62Eyi,神人开地雷酒吧，藏身在写字楼，勇哥：珍爱生命，请远离！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,705,0.615,10,3,0,0,位置商圈与客流、产品客单与差异化、渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1syKE62Eyi.srt
BV1DxK56VE2t,60万开高端小火锅，和龙歌PK！勇哥：又是一个活生生的悲剧  @勇哥餐饮原创,True,,527,0.999,71,17,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1DxK56VE2t.srt
BV1z1KG6QECK,豆包坑人系列，推荐大姐加盟奶茶，30万投入基本亏光！@勇哥餐饮原创,False,标题品类与正文不匹配,880,0.999,124,22,0,0,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1z1KG6QECK.srt
BV16BKg6UEfL,勇哥连麦美国面包店，站大街上怕手机被抢！勇哥觉得穿越回10年前 @勇哥餐饮原创,True,,558,1.0,94,15,0,2,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV16BKg6UEfL.srt
BV1otK365Ewy,小伙被美色迷惑，砸70万拆迁款加盟奶茶！ 以为能躺赚百万 @勇哥餐饮原创,True,,1035,1.0,135,53,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1otK365Ewy.srt
BV1jCKM6qEtB,背刺勇哥后续：当地人都在捧杀，勇哥回应错过最佳止损机会。 @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足,161,0.999,4,1,0,0,当前营业额、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1jCKM6qEtB.srt
BV1myNq6vEXQ,大姐加盟汉堡，被总部当小日子整！40天亏没35万！（经典补档）@勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,9,0.024,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1myNq6vEXQ.srt
BV1B5NY66Ey3,50万开快餐店，每月房租3万，月亏损5万多！老板从自信到后悔 @勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,6,0.008,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1B5NY66Ey3.srt
BV1SYNY64Eth,背刺勇哥最新后续，小伙发文回应：感谢勇哥，感谢网友  @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,133,2.728,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1SYNY64Eth.srt
BV1qtNt6xEeH,江西情侣远赴西藏，开卤菜熟食店，为了结婚压力山大 @勇哥餐饮原创,True,,586,0.999,58,20,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1qtNt6xEeH.srt
BV1wKN96qECh,100万开湘菜馆，老板负债50万扛不住了！勇哥让改美食城又不想改@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,416,0.615,2,0,0,0,位置商圈与客流、门头与可见性、产品客单与差异化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1wKN96qECh.srt
BV1n9Ny6kEwe,勇哥又遭背刺，学员联合快招要报警起诉勇哥！连打卡的网友都被警告！ @勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,58,4.562,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1n9Ny6kEwe.srt
BV1whN167E8t,投800万在广州开北京涮肉，负债300多万，每月亏损8万，老板还要坚持开！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,131,0.129,0,0,0,0,渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1whN167E8t.srt
BV1VANC6ZE5B,大姐一句中低端顾客得罪众人，勇哥赶紧救火！勇哥劝老板娘要知足 @勇哥餐饮原创,True,,207,0.998,47,16,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1VANC6ZE5B.srt
BV1MdNC6pEsf,全国唯一鹿肉串店？老板不听建议，勇哥很是无语 @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,134,0.456,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1MdNC6pEsf.srt
BV1WTNG6REuu,13万开围炉串串 日亏4百，老板看生意不好，果断关店找勇哥 @勇哥餐饮原创,True,,532,1.0,72,12,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1WTNG6REuu.srt
BV1RnNg6TECu,西安千万海鲜自助后续，被勇哥粉丝吃到营业额翻倍！因房租问题被房东告了 @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,259,0.654,1,0,0,0,水电及其他固定成本、位置商圈与客流、门头与可见性,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1RnNg6TECu.srt
BV1kwNM6rENS,勇哥认证的神店，台风天气顾客求开门！老板单车变摩托@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,160,0.263,0,0,0,0,加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1kwNM6rENS.srt
BV1HCNM6CEbt,30万开奶茶店，一个月清零！把勇哥当许愿池要公司退款 @勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,720,0.787,5,0,0,0,位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1HCNM6CEbt.srt
BV16FNP64EH4,高价摊位卖提拉米苏，店前人流不断，老板纳闷为啥没人买？@勇哥餐饮原创,True,,463,0.999,73,14,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV16FNP64EH4.srt
BV1ZAN46XEaW,45万开菠萝包店，盲目开分店全翻车，最后背上负债怎么办？@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,146,0.273,11,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1ZAN46XEaW.srt
BV1cRNW6HEa5,老哥自信开社区食堂，开业前就是不问，开业7天勇哥救我！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,249,0.548,1,1,0,0,人工与老板在场、初始投入与债务、门头与可见性,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1cRNW6HEa5.srt
BV1NBNJ62Ews,看勇哥视频自学成才，指点朋友扭亏为盈！合伙开800平烧烤店，月入3万！@勇哥餐饮原创,True,,621,1.0,101,9,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1NBNJ62Ews.srt
BV1VFNE69Ejp,2位姐姐支持弟弟创业，27万开烤肉，开业2个月就亏蔫吧了！@勇哥餐饮原创,False,餐饮语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,160,0.479,8,7,0,0,水电及其他固定成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1VFNE69Ejp.srt
BV1iYNE6cErA,中医世家开火锅店，顾客都是来把脉的！勇哥建议改名“把脉火锅”@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,614,1.47,2,0,0,0,房租物业与合同、产品客单与差异化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1iYNE6cErA.srt
BV171NL6xEos,找不到真塔斯汀后续，家里人不放弃还要开！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；与其他视频字幕重复且非最佳匹配,93,1.992,0,0,0,0,产品客单与差异化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV171NL6xEos.srt
BV1fWNj6bE1j,找不到真塔斯汀，20万加盟杂牌，成全国首店！没有开业就原地倒闭！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,239,0.149,5,0,1,0,位置商圈与客流、门头与可见性、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1fWNj6bE1j.srt
BV1VUMn6zEjq,冤种被总部和招商双重忽悠！选鸟不拉屎位置开咖啡店！别人说啥他都信  @勇哥餐饮原创,True,,451,0.998,82,18,0,1,毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1VUMn6zEjq.srt
BV1DQME6fEcA,00后开火锅鸡月挣6万！勇哥牵线介绍表妹！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,155,0.315,1,0,0,0,位置商圈与客流,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1DQME6fEcA.srt
BV1DeMJ6FEcK,2千万粉丝博主—韩路说车连麦勇哥，讨论在北京开烤串店！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；与其他视频字幕重复且非最佳匹配,732,1.057,3,1,0,0,人工与老板在场、位置商圈与客流、门头与可见性、产品客单与差异化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1DeMJ6FEcK.srt
BV1GsM76bEHM,犟种偏要开牛蛙火锅，勇哥断言开了必亏，老板自信亏钱也要开！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；标题品类与正文不匹配,223,0.51,3,0,0,0,初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1GsM76bEHM.srt
BV11BM76UEBG,18万加盟杂牌奶茶，幻想月入万元，结果刚开一个月就完蛋！@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；出现明显无关主题；标题品类与正文不匹配；与其他视频字幕重复且非最佳匹配,386,0.454,1,0,34,0,门头与可见性、渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV11BM76UEBG.srt
BV13iMG61EYf,究竟是多好的位置，甘愿掏20万转让费，还要瞒着房东！@勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,17,0.025,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV13iMG61EYf.srt
BV1PhM36cEgF,史上最窄快餐店，刚刚开业就要没！@勇哥餐饮原创,True,,442,0.999,51,16,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1PhM36cEgF.srt
BV1XFMq6jEG4,十年蛋糕老店，被早餐店影响生意，老板动了“坏心思”，勇哥：我不当坏人！@勇哥餐饮原创,True,,448,0.999,58,16,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1XFMq6jEG4.srt
BV15AM86wEM7,宝妈一分钱没有，全负债加盟炸鸡，只因看到朋友挣钱了！@勇哥餐饮原创,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足；标题品类与正文不匹配；字幕覆盖严重不足；与其他视频字幕重复且非最佳匹配,12,0.161,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV15AM86wEM7.srt
BV1ijMb6YEYm,勇哥遭遇背刺后，上“执法记录仪”，看神人还怎么甩锅！,False,字幕条目过少；餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足,47,0.97,0,0,0,0,,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1ijMb6YEYm.srt
BV14VMt62Edj,勇哥说错话得罪B站！大佬发百元sc让道歉。@勇哥餐饮原创,False,餐饮语义信号不足；经营/财务语义信号不足；可识别判断维度不足,373,1.257,5,0,0,0,门头与可见性、产品客单与差异化、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV14VMt62Edj.srt
BV13FMx6mELf,290万开宫廷宴，顾客坐龙椅当皇帝！勇哥直接宣判：全部归零！@勇哥餐饮原创,True,,955,1.0,102,25,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV13FMx6mELf.srt
BV1X1Td6eEoq,投120万 在山头开咖啡店，环境很好，营业额却很拉。@勇哥餐饮原创,True,,560,1.0,91,28,0,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1X1Td6eEoq.srt
BV1D1T96dEZN,再遇烤鱼神店，周围店铺全倒闭！老板告赢快招公司，给餐饮人上大分！@勇哥餐饮原创,True,,925,1.0,74,12,0,2,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1D1T96dEZN.srt
