bvid,title,caption_count,coverage_ratio,restaurant_signal,financial_signal,title_body_alignment,dimensions,path
BV12pTq6qEjQ,看人赚钱钩子痒，投30万开店被同行吊打！月亏2万才想起来找勇哥   @勇哥餐饮原创,516,0.999,89,21,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV12pTq6qEjQ.srt
BV1xoTY6ZEdk,姑娘在农村开奶茶，15万投入令人心痛！月薪万元的工作也没了@勇哥餐饮原创,618,0.999,85,11,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1xoTY6ZEdk.srt
BV1F2KZ6UEFN,香港富姐在深圳开茶餐厅，成本30卖20！大姐太搞笑勇哥吸氧！@勇哥餐饮原创,748,1.0,83,34,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1F2KZ6UEFN.srt
BV1upKd64ECo,抵押房子开网红火锅，连续掉进一个坑！勇哥：80万没了！@勇哥餐饮原创,781,1.0,142,29,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1upKd64ECo.srt
BV1NzKU6YEUr,小红薯上忍痛割爱，奶茶店快速回血！勇哥“太坏了”。@勇哥餐饮原创,546,0.999,82,32,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1NzKU6YEUr.srt
BV1t7T56kEmo,一分没有和闺蜜加盟奶茶，蜜雪都看好的位置，亏钱也要坚持到底！@勇哥餐饮原创,697,0.999,88,20,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1t7T56kEmo.srt
BV178TM6gEeT,因为爱吃，姑娘投10万开糖水，啥都不懂就敢创业！@勇哥餐饮原创,307,0.999,54,21,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV178TM6gEeT.srt
BV1ETTT6TEKS,30万开糖水店，不知道把钱花那了？ @勇哥餐饮原创,285,0.999,46,22,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1ETTT6TEKS.srt
BV1cc7j6bEW5,大孝子白嫖老爹，勇哥：让老爹干19个小时！土豆粉店就赚钱了！@勇哥餐饮原创,383,0.999,50,17,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1cc7j6bEW5.srt
BV1Kt7q6hEAr,混音师梦碎北京！开烤肉赔光300万！勇哥：神仙来了也难救！@勇哥餐饮原创,1148,0.999,176,62,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1Kt7q6hEAr.srt
BV1aWj26cE1M,骚年！来爽一把游戏烧烤，免费玩PS5！@勇哥餐饮原创,425,0.998,83,22,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1aWj26cE1M.srt
BV1fp7P6REjB,敢和老乡鸡PK，负债60万还看不清自己，勇哥怒喷犟种！ @勇哥餐饮原创,970,0.998,87,7,1,毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1fp7P6REjB.srt
BV1zBjb6oEri,姑娘要砸17万开杂牌咖啡，12元的冰美式能吸引学生？@勇哥餐饮原创,448,0.999,73,13,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1zBjb6oEri.srt
BV1cCjH63EEG,投60万卖玉米糖水，月亏2万坚持不住啦！ @勇哥餐饮原创,671,1.0,110,41,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1cCjH63EEG.srt
BV1M1ja6SEa6,80万开演绎酒吧，每月硬亏12万！老板和店长全是酒蒙子，问啥都不知道！  @勇哥餐饮原创,398,1.0,76,13,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1M1ja6SEa6.srt
BV1NRjF6WEo5,史上最牛烤鱼店！整个楼层全倒闭！8年老店到底有多好吃？（江苏）@勇哥餐饮原创,662,0.998,47,17,2,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1NRjF6WEo5.srt
BV1g6Jj6UEcW,姑娘16万接盘姨妈热饮，起早贪黑仅赚百元！@勇哥餐饮原创,473,0.999,67,31,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1g6Jj6UEcW.srt
BV193EC6bEzi,藏族姐妹跑到成都，加盟杂牌奶茶。这次只能认亏？@勇哥餐饮原创,438,0.999,70,20,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV193EC6bEzi.srt
BV1fSEi6JErU,姑娘负债400万，瞒着家人开店！勇哥看好～恭喜你！@勇哥餐饮原创,556,1.0,57,19,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1fSEi6JErU.srt
BV11SEY6XE8W,神人姐为开店准备8年，勇哥打碎她的白日梦！和家是本坐一桌 @勇哥餐饮原创,960,1.0,97,12,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV11SEY6XE8W.srt
BV1xKE96CEk4,65万开肖蘸米线，负债百万极度自信，不听劝的后果很严重！@勇哥餐饮原创,859,0.999,129,51,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1xKE96CEk4.srt
BV1zRE76PE6M,宝妈加盟杂牌奶茶，一个月亏光50万！@勇哥餐饮原创,797,1.0,112,30,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1zRE76PE6M.srt
BV1dNEu6vEBW,地产大佬的最后一舞！利息还了一个亿。负债千万又开火锅店！@勇哥餐饮原创,563,1.0,52,9,1,毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1dNEu6vEBW.srt
BV1BGE469Ecx,男人至宝法力无边！甲鱼牛鞭煲，勇哥VS犟老板（东莞）@勇哥餐饮原创,811,1.0,102,14,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1BGE469Ecx.srt
BV1hpEs6uESq,负债加盟杂牌奶茶，6天亏光30万！只因找不到蜜雪官网电话。@勇哥餐饮原创,829,1.0,102,40,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1hpEs6uESq.srt
BV1pz7D68Ec9,牛肉汤月亏3万，顾客都是羊毛党！勇哥直言：不想改直接关！@勇哥餐饮原创,500,1.0,77,12,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1pz7D68Ec9.srt
BV1T97663Egd,深圳100万开海南椰子鸡，每天亏1千。到底选址翻车，还是品类选错？@勇哥餐饮原创,568,0.999,63,18,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1T97663Egd.srt
BV1B37X64Ewy,杀猪菜大厦！7800平面积着实震惊勇哥！（大连）@勇哥餐饮原创,583,1.0,70,16,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1B37X64Ewy.srt
BV1nU7X6wEcr,前唐茶事后续，负债300万老板携手股东再战！ @勇哥餐饮原创,458,0.999,63,16,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1nU7X6wEcr.srt
BV1JVVr6QEaq,宝妈负债开奶茶，犟到勇哥红温破防！能坚持看完的都是勇士。@勇哥餐饮原创,448,0.999,61,14,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1JVVr6QEaq.srt
BV1SYVE6zE91,小嫂子烧烤遇困境，5万买餐车天天亏。改了又怕同行眼红嫉妒！@勇哥餐饮原创,431,0.997,79,6,1,当前营业额、毛利与变动成本、人工与老板在场、水电及其他固定成本、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1SYVE6zE91.srt
BV1EyVW6qErm,200万开酸汤火锅+日咖夜酒，勇哥：位置好！大有可为！ @勇哥餐饮原创,594,0.999,82,12,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1EyVW6qErm.srt
BV1QxG96MEJW,冤种姐砸60万开臭豆腐火锅，每月亏6万怎么救？@勇哥餐饮原创,545,0.999,91,34,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1QxG96MEJW.srt
BV1zRGy64E3h,负债开中药奶茶，三个月亏光26万！ @勇哥餐饮原创,562,0.999,79,33,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1zRGy64E3h.srt
BV19LG76uEy4,在北京郊区开咖啡奶茶，谁来买？没人啊！@勇哥餐饮原创,401,0.999,59,6,2,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV19LG76uEy4.srt
BV1tgLt6PEaK,15万接盘倒闭奶茶店，老板娘太轴就算亏钱也不想改品。勇哥：听我的日销2千+  @勇哥餐饮原创,779,1.0,120,28,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1tgLt6PEaK.srt
BV1RXLm6KEdt,宝妈为了减轻家庭负担，要负债接盘杂牌奶茶。只为每月赚3千工资  @勇哥餐饮原创,651,0.998,76,28,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、初始投入与债务、位置商圈与客流、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1RXLm6KEdt.srt
BV1jkLC6tEWS,前无古人后无来者，冤种花5万学包馄饨！就因为觉得好吃！ @勇哥餐饮原创,815,0.999,110,28,1,当前营业额、毛利与变动成本、房租物业与合同、人工与老板在场、水电及其他固定成本、初始投入与债务、位置商圈与客流、门头与可见性、产品客单与差异化、渠道口碑与转化、加盟与经营者风险、纠偏退出与机会成本,/Users/zhangyvjing/Library/Mobile Documents/com~apple~CloudDocs/Agent/output/bilibili-ai-subtitles/srt/BV1jkLC6tEWS.srt
