bvid,title,duration,subtitle_status,title_stage,title_problems
BV1KSKF6hE66,工厂里开养生馆！主打中药茶饮+手搓养生丸。勇哥：谁会到你这里来养生？@勇哥餐饮原创,09:43,saved,其他案例/内容,
BV1MCKF6vEd9,汉林仕汉堡嘲讽勇哥，说勇哥是鼠目寸光！扬言要打勇哥的脸！简直是倒反天罡！@勇哥餐饮原创,02:38,no_ai_zh,其他案例/内容,
BV1rtNR6gE9K,梭哈全部积蓄，50万开日餐夜酒，勇哥：就是看人拉S钩子痒，开不了！@勇哥餐饮原创,15:37,no_ai_zh,其他案例/内容,投入过重
BV1GXKJ6cERH,全男青年旅舍咖啡屋，还有儿童托管！勇哥痛批全是幻想！ @勇哥餐饮原创,28:05,no_ai_zh,其他案例/内容,
BV1haKE6REqR,71岁老奶奶经历丧子之痛，还在坚持创业，勇哥准备去探店支持！成都文殊院（菌汤锅）,32:56,no_ai_zh,其他案例/内容,
BV1syKE62Eyi,神人开地雷酒吧，藏身在写字楼，勇哥：珍爱生命，请远离！@勇哥餐饮原创,36:37,saved,其他案例/内容,
BV1DxK56VE2t,60万开高端小火锅，和龙歌PK！勇哥：又是一个活生生的悲剧  @勇哥餐饮原创,17:34,saved,其他案例/内容,投入过重
BV1GJKG66ECF,不顾老婆孩子，守着山寨哈根达斯店，总部都跑路了还在坚持！勇哥：课程费退你，赶紧回老家。@勇哥餐饮原创,20:50,no_ai_zh,其他案例/内容,加盟与品牌
BV1z1KG6QECK,豆包坑人系列，推荐大姐加盟奶茶，30万投入基本亏光！@勇哥餐饮原创,28:29,saved,经营困境/止损,亏损与现金流、加盟与品牌、投入过重
BV16BKg6UEfL,勇哥连麦美国面包店，站大街上怕手机被抢！勇哥觉得穿越回10年前 @勇哥餐饮原创,18:15,saved,其他案例/内容,
BV1otK365Ewy,小伙被美色迷惑，砸70万拆迁款加盟奶茶！ 以为能躺赚百万 @勇哥餐饮原创,32:00,saved,其他案例/内容,加盟与品牌、投入过重
BV1jCKM6qEtB,背刺勇哥后续：当地人都在捧杀，勇哥回应错过最佳止损机会。 @勇哥餐饮原创,04:40,saved,争议/花絮/非诊断,
BV1npNz6bEhC,40万加盟盗版超意兴！总部承诺月销10万，结果月亏2万4（经典补档）@勇哥餐饮原创,31:09,no_ai_zh,经营困境/止损,亏损与现金流、加盟与品牌
BV1myNq6vEXQ,大姐加盟汉堡，被总部当小日子整！40天亏没35万！（经典补档）@勇哥餐饮原创,33:32,saved,经营困境/止损,亏损与现金流、加盟与品牌
BV1B5NY66Ey3,50万开快餐店，每月房租3万，月亏损5万多！老板从自信到后悔 @勇哥餐饮原创,24:31,saved,经营困境/止损,亏损与现金流、投入过重
BV1SYNY64Eth,背刺勇哥最新后续，小伙发文回应：感谢勇哥，感谢网友  @勇哥餐饮原创,01:46,saved,争议/花絮/非诊断,
BV1qtNt6xEeH,江西情侣远赴西藏，开卤菜熟食店，为了结婚压力山大 @勇哥餐饮原创,18:23,saved,其他案例/内容,
BV1wKN96qECh,100万开湘菜馆，老板负债50万扛不住了！勇哥让改美食城又不想改@勇哥餐饮原创,24:30,saved,经营困境/止损,亏损与现金流、投入过重
BV1cNNQ68Et8,勇哥刚想开喷，看到老板准备充足瞬间哑火，因每天工作12个小时受不了，选址开咖啡店 @勇哥餐饮原创,18:02,no_ai_zh,开店前/投入决策,选址与客流
BV1jPNm6CELF,16岁就怀揣创业梦！开酸奶店4个月就倒闭，还要打工再创业。@勇哥餐饮原创,19:35,no_ai_zh,经营困境/止损,亏损与现金流
BV1n9Ny6kEwe,勇哥又遭背刺，学员联合快招要报警起诉勇哥！连打卡的网友都被警告！ @勇哥餐饮原创,00:32,saved,争议/花絮/非诊断,
BV1whN167E8t,投800万在广州开北京涮肉，负债300多万，每月亏损8万，老板还要坚持开！@勇哥餐饮原创,28:41,saved,经营困境/止损,亏损与现金流
BV1VANC6ZE5B,大姐一句中低端顾客得罪众人，勇哥赶紧救火！勇哥劝老板娘要知足 @勇哥餐饮原创,06:42,saved,其他案例/内容,
BV1MdNC6pEsf,全国唯一鹿肉串店？老板不听建议，勇哥很是无语 @勇哥餐饮原创,08:14,saved,其他案例/内容,
BV1WTNG6REuu,13万开围炉串串 日亏4百，老板看生意不好，果断关店找勇哥 @勇哥餐饮原创,16:16,saved,经营困境/止损,亏损与现金流、投入过重
BV1RnNg6TECu,西安千万海鲜自助后续，被勇哥粉丝吃到营业额翻倍！因房租问题被房东告了 @勇哥餐饮原创,11:47,saved,增长/成功复盘,增长诉求
BV1kwNM6rENS,勇哥认证的神店，台风天气顾客求开门！老板单车变摩托@勇哥餐饮原创,18:55,saved,增长/成功复盘,
BV1HCNM6CEbt,30万开奶茶店，一个月清零！把勇哥当许愿池要公司退款 @勇哥餐饮原创,34:02,saved,经营困境/止损,亏损与现金流、投入过重
BV16FNP64EH4,高价摊位卖提拉米苏，店前人流不断，老板纳闷为啥没人买？@勇哥餐饮原创,16:13,saved,经营困境/止损,选址与客流、产品与定价
BV1ZAN46XEaW,45万开菠萝包店，盲目开分店全翻车，最后背上负债怎么办？@勇哥餐饮原创,15:08,saved,其他案例/内容,亏损与现金流、投入过重
BV1cRNW6HEa5,老哥自信开社区食堂，开业前就是不问，开业7天勇哥救我！@勇哥餐饮原创,15:52,saved,其他案例/内容,
BV1NBNJ62Ews,看勇哥视频自学成才，指点朋友扭亏为盈！合伙开800平烧烤店，月入3万！@勇哥餐饮原创,20:25,saved,经营困境/止损,亏损与现金流、运营与人员、增长诉求
BV1VFNE69Ejp,2位姐姐支持弟弟创业，27万开烤肉，开业2个月就亏蔫吧了！@勇哥餐饮原创,12:26,saved,经营困境/止损,亏损与现金流、投入过重
BV1iYNE6cErA,中医世家开火锅店，顾客都是来把脉的！勇哥建议改名“把脉火锅”@勇哥餐饮原创,12:03,saved,其他案例/内容,
BV1JkNL6tE3f,找不到真塔斯汀后续，勇哥给出最后忠告，这家人彻底没救了！@勇哥餐饮原创,07:40,no_ai_zh,其他案例/内容,
BV171NL6xEos,找不到真塔斯汀后续，家里人不放弃还要开！@勇哥餐饮原创,01:30,saved,开店前/投入决策,
BV1fWNj6bE1j,找不到真塔斯汀，20万加盟杂牌，成全国首店！没有开业就原地倒闭！@勇哥餐饮原创,41:02,saved,经营困境/止损,亏损与现金流、加盟与品牌
BV1VUMn6zEjq,冤种被总部和招商双重忽悠！选鸟不拉屎位置开咖啡店！别人说啥他都信  @勇哥餐饮原创,15:48,saved,其他案例/内容,选址与客流、加盟与品牌
BV1DQME6fEcA,00后开火锅鸡月挣6万！勇哥牵线介绍表妹！@勇哥餐饮原创,19:07,saved,其他案例/内容,
BV1DeMJ6FEcK,2千万粉丝博主—韩路说车连麦勇哥，讨论在北京开烤串店！@勇哥餐饮原创,29:07,saved,其他案例/内容,
BV1GsM76bEHM,犟种偏要开牛蛙火锅，勇哥断言开了必亏，老板自信亏钱也要开！@勇哥餐饮原创,20:54,saved,经营困境/止损,亏损与现金流
BV11BM76UEBG,18万加盟杂牌奶茶，幻想月入万元，结果刚开一个月就完蛋！@勇哥餐饮原创,30:15,saved,增长/成功复盘,加盟与品牌、增长诉求
BV13iMG61EYf,究竟是多好的位置，甘愿掏20万转让费，还要瞒着房东！@勇哥餐饮原创,19:14,saved,开店前/投入决策,选址与客流、投入过重
BV1PhM36cEgF,史上最窄快餐店，刚刚开业就要没！@勇哥餐饮原创,15:33,saved,其他案例/内容,
BV1XFMq6jEG4,十年蛋糕老店，被早餐店影响生意，老板动了“坏心思”，勇哥：我不当坏人！@勇哥餐饮原创,14:45,saved,其他案例/内容,
BV15AM86wEM7,宝妈一分钱没有，全负债加盟炸鸡，只因看到朋友挣钱了！@勇哥餐饮原创,19:38,saved,其他案例/内容,亏损与现金流、加盟与品牌
BV1ijMb6YEYm,勇哥遭遇背刺后，上“执法记录仪”，看神人还怎么甩锅！,01:16,saved,争议/花絮/非诊断,
BV14VMt62Edj,勇哥说错话得罪B站！大佬发百元sc让道歉。@勇哥餐饮原创,10:30,saved,争议/花絮/非诊断,
BV13FMx6mELf,290万开宫廷宴，顾客坐龙椅当皇帝！勇哥直接宣判：全部归零！@勇哥餐饮原创,33:15,saved,其他案例/内容,投入过重
BV1X1Td6eEoq,投120万 在山头开咖啡店，环境很好，营业额却很拉。@勇哥餐饮原创,17:26,saved,其他案例/内容,增长诉求
BV1D1T96dEZN,再遇烤鱼神店，周围店铺全倒闭！老板告赢快招公司，给餐饮人上大分！@勇哥餐饮原创,28:54,saved,经营困境/止损,亏损与现金流
BV1fWTQ6AE6d,妈妈在蜜雪打工，姑娘40万开杂牌奶茶！一分没有全部负债怎么办？@勇哥餐饮原创,33:28,saved,其他案例/内容,亏损与现金流、投入过重
BV1i3TX6cE6H,炒饭还用加盟？，勇哥直接让关店，小伙子不服气，还想试一试！@勇哥餐饮原创,12:39,saved,经营困境/止损,亏损与现金流、加盟与品牌
BV1DzTS65EVL,等不及和勇哥连麦，急开湘菜馆，一念之差白搭30万！@勇哥餐饮原创,18:54,no_ai_zh,其他案例/内容,
BV1BwTD6bEy4,100万租500亩田地，开咖啡店卖大米，好看不好赚！@勇哥餐饮原创,35:14,saved,其他案例/内容,产品与定价
BV1SaT16YEvX,退伍兵加盟冷吃被坑，只有25％的毛利率！勇哥：不用看直接关！@勇哥餐饮原创,18:57,saved,其他案例/内容,加盟与品牌
BV1SgTy6fEgU,明知亏钱也要干！烤肉店没特色，都把勇哥气笑了：顾客闲的到你这吃！@勇哥餐饮原创,18:47,saved,经营困境/止损,亏损与现金流
BV1sPMg6fE9k,搞了6年餐饮，折腾进去260万！还负债100万！两口子找勇哥“救命” @勇哥餐饮原创,25:45,saved,其他案例/内容,亏损与现金流
BV1o9MP6cEwP,在马来西亚开湘菜馆，回本速度可观！勇哥都想过去开店！@勇哥餐饮原创,18:10,saved,增长/成功复盘,
BV1yLMA6ME3W,姑娘从摆摊到开店，卖咖啡小吃能月赚2万+，蒸蚌！ @勇哥餐饮原创,13:43,no_ai_zh,增长/成功复盘,产品与定价、增长诉求
BV1iWTf6jEo5,犟种干餐饮5年亏了100万！就会杠杠杠！勇哥：你没救了 @勇哥餐饮原创,28:11,saved,经营困境/止损,亏损与现金流
BV1DdTx6LEcm,网红西餐厅改湖北菜，没想到亏30万！装修太好 顾客反而不敢进！@勇哥餐饮原创,15:24,saved,经营困境/止损,亏损与现金流、投入过重
BV1zwTt6cErH,拿母亲安葬费创业后续，他成功了！因勇哥没有收课程费，他送出斗音一号！  @勇哥餐饮原创,14:15,saved,增长/成功复盘,
BV1qETs6QEkk,闺蜜二人加盟奶茶！无知到气炸勇哥，被一顿输出教育！@勇哥餐饮原创,39:10,no_ai_zh,其他案例/内容,加盟与品牌
BV1n9Ts6ZEhs,两个犟种开蹦迪烧烤，勇哥根本劝不住！完全活在自己的梦里！@勇哥餐饮原创,37:08,saved,其他案例/内容,
BV1qdTp6UEaC,羊杂咖啡炸裂登场！闺蜜合伙开咖啡店，差点把勇哥气亖！@勇哥餐饮原创,29:01,saved,其他案例/内容,运营与人员
BV1kdT76VEfq,小火锅差评泛滥月亏2万，勇哥发火：8位大神一个不留！@勇哥餐饮原创,20:53,saved,经营困境/止损,亏损与现金流、运营与人员
BV1BcTj6wEzN,勇哥化身张雪峰老师，帮忙填写志愿，在能力范围内，给出最优建议。,01:32,saved,争议/花絮/非诊断,
BV1DETj6SENP,24万开高仿蜜雪，30平装修花7万！顾客根本不买单 @勇哥餐饮原创,25:07,saved,其他案例/内容,投入过重
BV1CqTr6CE1D,史上亏的最快的包子店，3天亏5万！勇哥直言：不值得可怜！@勇哥餐饮原创,17:04,saved,经营困境/止损,亏损与现金流
BV1HWTk6GE5s,冤种父子加盟杂牌奶茶，把勇哥气到红温！直言真是活该！@勇哥餐饮原创,35:37,saved,其他案例/内容,加盟与品牌
BV12pTq6qEjQ,看人赚钱钩子痒，投30万开店被同行吊打！月亏2万才想起来找勇哥   @勇哥餐饮原创,17:43,saved,经营困境/止损,亏损与现金流、投入过重
BV1m7Tv6AED1,想开蜜雪，结果连官网都找不到！ @勇哥餐饮,01:21,saved,开店前/投入决策,
BV18STY6YE2M,SPA按摩+餐饮，史上最快转一圈！@勇哥餐饮原创,04:41,saved,其他案例/内容,
BV1xoTY6ZEdk,姑娘在农村开奶茶，15万投入令人心痛！月薪万元的工作也没了@勇哥餐饮原创,21:43,saved,其他案例/内容,亏损与现金流、投入过重
BV1eWTe6gEFc,退伍老兵150万开湘菜馆，月亏4万7！勇哥：别慌，还有得救！@勇哥餐饮原创,19:38,saved,经营困境/止损,亏损与现金流、投入过重
BV1hUKf6KEws,砸2000万开露营基地，占地2万平！回本遥遥无期～ @勇哥餐饮原创,29:56,saved,增长/成功复盘,投入过重
BV1L7TF6jEXF,投100万开的“大乌龟”咖啡店，小伙要+二次元。 @勇哥餐饮原创,16:44,no_ai_zh,其他案例/内容,投入过重
BV1N6TF6hEAx,15万开馒头屋！啃馒头配糖水，勇哥：坚持下去会亏47万！@勇哥餐饮原创,20:30,saved,经营困境/止损,亏损与现金流、投入过重
BV1F2KZ6UEFN,香港富姐在深圳开茶餐厅，成本30卖20！大姐太搞笑勇哥吸氧！@勇哥餐饮原创,26:04,saved,其他案例/内容,产品与定价
BV1upKd64ECo,抵押房子开网红火锅，连续掉进一个坑！勇哥：80万没了！@勇哥餐饮原创,27:36,saved,其他案例/内容,亏损与现金流
BV15gK96oEPH,大佬要砸300万给儿子干餐饮，勇哥痛批：都是幻想！还却儿子吗？ @勇哥餐饮原创,18:29,saved,其他案例/内容,投入过重
BV1fqKQ68EPx,勇哥游泳时遇粉丝，赤裸相见很尴尬。。。,00:46,saved,其他案例/内容,
BV1ZBKQ6fEUa,勇哥蒙圈：哪里被封了？干的都是正能量的事情，帮助最多的就是宝妈。,03:53,saved,其他案例/内容,
BV1NzKU6YEUr,小红薯上忍痛割爱，奶茶店快速回血！勇哥“太坏了”。@勇哥餐饮原创,18:29,saved,其他案例/内容,
BV1ZeKS69ERA,快给勇哥叫救护车！大姐负债开奶茶，又要加盟自助酒馆！挖矿老公承受一切 @勇哥餐饮原创,36:12,saved,其他案例/内容,亏损与现金流、加盟与品牌
BV1t7T56kEmo,一分没有和闺蜜加盟奶茶，蜜雪都看好的位置，亏钱也要坚持到底！@勇哥餐饮原创,22:48,saved,经营困境/止损,亏损与现金流、选址与客流、加盟与品牌
BV19ETu6iEtD,380万开火锅，美女老板愁的睡不着觉，累到没有了精气神。@勇哥餐饮原创,25:58,saved,其他案例/内容,投入过重
BV178TM6gEeT,因为爱吃，姑娘投10万开糖水，啥都不懂就敢创业！@勇哥餐饮原创,11:08,saved,其他案例/内容,投入过重
BV1ETTT6TEKS,30万开糖水店，不知道把钱花那了？ @勇哥餐饮原创,10:05,saved,其他案例/内容,投入过重
BV1Q97W6NEph,加盟小火锅 钱给完了，心慌找勇哥认可，说了不能干，被对方质疑太年轻！@勇哥餐饮原创,19:42,saved,其他案例/内容,加盟与品牌
BV1u97H6tERd,臭水沟上开农家乐，月房租100块！大家看看能不能干？ @勇哥餐饮原创,18:31,saved,其他案例/内容,
BV1sq7E6rEpe,不听劝阻硬要接盘，两口子梦碎水果捞！@勇哥餐饮原创,18:01,saved,其他案例/内容,
BV1cc7j6bEW5,大孝子白嫖老爹，勇哥：让老爹干19个小时！土豆粉店就赚钱了！@勇哥餐饮原创,12:36,saved,其他案例/内容,
BV1Ur7V6YEY7,那么多害人的快招他们不管，却封了勇哥的小黄车！@勇哥餐饮原创,01:18,saved,其他案例/内容,
BV1Ek756QExT,突发斗音官方来电，勇哥：到底哪里违规了？ 对方最后直接挂断电话！ @勇哥餐饮原创,06:00,saved,其他案例/内容,
BV11b756hEse,姐妹加盟奶茶赔光40万！想要维权只喊口号！极致烧脑的一家人 @勇哥餐饮原创,44:31,no_ai_zh,经营困境/止损,亏损与现金流、加盟与品牌
BV1NK7V6tEw4,恭喜小伙发财，捡漏好位置！勇哥在线支招更上一层楼 @勇哥餐饮原创,11:07,saved,增长/成功复盘,选址与客流、增长诉求
BV1Kt7q6hEAr,混音师梦碎北京！开烤肉赔光300万！勇哥：神仙来了也难救！@勇哥餐饮原创,42:08,saved,经营困境/止损,亏损与现金流
BV1Mv7a6nEHD,小伙要和老乡鸡、必胜客PK，老子打的就是精锐！@勇哥餐饮原创,13:54,saved,其他案例/内容,
BV1ws7h6uE99,刷小红薯加盟奶茶，20天赔光20万！勇哥质问不吱声   @勇哥餐饮原创,38:24,saved,经营困境/止损,亏损与现金流、加盟与品牌
BV1HT7a6zE4q,勇哥爆笑吃瓜！生意保不住，还要被女友甩？为什么被同行摸黑？ @勇哥餐饮原创,25:56,no_ai_zh,争议/花絮/非诊断,
BV1Y67b6JEJV,南通最牛烤鱼后续：把厨师累到跑路！收到差评气的老板娘睡不着！ @勇哥餐饮原创,11:31,saved,其他案例/内容,运营与人员
BV16s7b68E1s,宝妈加盟山东奶茶，8个月赔光18万！勇哥表示心累无奈  @勇哥餐饮原创,15:06,saved,经营困境/止损,亏损与现金流、加盟与品牌
BV1eZjd6fEmb,小伙宁愿睡地板，也要当老板！勇哥看好邀他入职  @勇哥餐饮原创,18:19,saved,其他案例/内容,
BV1YEjd6xE4D,20万开糖水只卖80块，半个月就要亏光！附近蜜雪老板看其可怜 推荐勇哥 @勇哥餐饮原创,37:05,saved,经营困境/止损,亏损与现金流、投入过重、产品与定价
BV1bWj965ELr,虽然勇哥说服了我，但我就是想开！三文鱼の创业幻想 @勇哥餐饮原创,17:27,saved,开店前/投入决策,
BV1sYj96MEbt,刚结束连麦，就把勇哥挂小红薯！ @勇哥餐饮原创,00:53,no_ai_zh,其他案例/内容,
BV1sGjR6rEyo,仙女开烘焙天天亏，好闺蜜还在捧杀！勇哥让其闭嘴！@勇哥餐饮原创,26:15,saved,经营困境/止损,亏损与现金流
BV1fuj266Ebg,放弃国企工作，偏要加盟快餐！到底是怎么想的？ @勇哥餐饮原创,19:31,no_ai_zh,其他案例/内容,加盟与品牌
BV1aWj26cE1M,骚年！来爽一把游戏烧烤，免费玩PS5！@勇哥餐饮原创,15:20,saved,其他案例/内容,
BV1fhjm65EdY,找不到真蜜雪，33万开“逃亡奶茶”，刚开业就要关门大吉！@勇哥餐饮原创,33:58,saved,其他案例/内容,投入过重
BV1Xrj16fEaC,犟种的三文鱼发财梦！勇哥团队齐上阵，劝到心力交瘁！@勇哥餐饮原创,21:23,no_ai_zh,增长/成功复盘,增长诉求
BV1Up7N6CEdi,80万加盟烤肉，6个月全亏光！这下钩子不痒了吧！@勇哥餐饮原创,25:05,no_ai_zh,经营困境/止损,亏损与现金流、加盟与品牌
BV1Js7K6wEYF,刚赚钱就要开分店，这也太飘了吧！还是上来忽悠人的？@勇哥餐饮原创,10:12,saved,开店前/投入决策,
BV12K7P6iEyK,吃着火锅唱着歌，就把钱亏没啦！既可怜，又可恨！@勇哥餐饮原创,23:07,saved,经营困境/止损,亏损与现金流
BV1fp7P6REjB,敢和老乡鸡PK，负债60万还看不清自己，勇哥怒喷犟种！ @勇哥餐饮原创,30:50,saved,其他案例/内容,亏损与现金流
BV1tf7c6YErH,南通最牛烤鱼后续，这破天的流量彻底爆了！老板娘感谢勇哥粉丝的大力支持！@勇哥餐饮原创,02:20,saved,其他案例/内容,
BV1tCj86VErX,19.8的自助快餐，全是给老板上课的！月亏2万怎么救？@勇哥餐饮原创,15:41,saved,经营困境/止损,亏损与现金流
BV1zBjb6oEri,姑娘要砸17万开杂牌咖啡，12元的冰美式能吸引学生？@勇哥餐饮原创,14:58,saved,其他案例/内容,投入过重
BV1zej46QEnL,考公大楼上开健身餐吧，勇哥痛批都是幻想！@勇哥餐饮原创,18:56,saved,其他案例/内容,
BV1cCjH63EEG,投60万卖玉米糖水，月亏2万坚持不住啦！ @勇哥餐饮原创,22:40,saved,经营困境/止损,亏损与现金流、产品与定价
BV1znjE6bEMe,天上掉馅饼！年销140万的蜜雪，35万就能拿下！@勇哥餐饮原创,12:15,saved,其他案例/内容,
BV1LQjk6xEN1,独一无二的位置，医院里卖咖啡，年赚70万！@勇哥餐饮原创,17:15,no_ai_zh,其他案例/内容,选址与客流、产品与定价
BV1aMjB6uEtP,老6弟弟的餐饮梦，10万开糖水，刚开业就送给家中姐妹。@勇哥餐饮原创,14:52,saved,其他案例/内容,投入过重
BV1qHjz6JE3W,垃圾位置也敢要15万！开餐酒吧，用妹子钓翘嘴！@勇哥餐饮原创,14:20,saved,其他案例/内容,选址与客流
BV1M1ja6SEa6,80万开演绎酒吧，每月硬亏12万！老板和店长全是酒蒙子，问啥都不知道！  @勇哥餐饮原创,13:59,saved,经营困境/止损,亏损与现金流、投入过重
BV1NRjF6WEo5,史上最牛烤鱼店！整个楼层全倒闭！8年老店到底有多好吃？（江苏）@勇哥餐饮原创,20:09,saved,经营困境/止损,亏损与现金流
BV1r4jw6nEEc,在古茗和幸运咖中间开（蜜城之恋）勇哥：这28万必亏！@勇哥餐饮原创,14:18,saved,经营困境/止损,亏损与现金流
BV159Lf6KEQQ,1000万开火锅，店里全是蛀虫，月亏40万！勇哥：一个不留！@勇哥餐饮原创,38:00,no_ai_zh,经营困境/止损,亏损与现金流、投入过重
BV1aDLR6DEf4,宝妈背着老公开辅食店，没钱装修了才告知！孩子干妈会每月充值1万5。@勇哥餐饮原创,16:45,saved,其他案例/内容,投入过重
BV18XLX6rEjt,破产姐妹为了改变命运，负债开奶茶！月亏1万2，负债60万！@勇哥餐饮原创,25:37,saved,经营困境/止损,亏损与现金流
BV164LD6DEuf,超能力拿下绝佳商铺，勇哥：恭喜发财，干啥都能赚！@勇哥餐饮原创,13:15,saved,增长/成功复盘,增长诉求
BV1iiLD6yEHb,宝妈本负债80万，加盟自助酒馆，30天才卖100块！@勇哥餐饮原创,30:15,no_ai_zh,其他案例/内容,亏损与现金流、加盟与品牌、产品与定价
BV1zhjV67Exo,400万开陕西菜，我命由我不由天！年亏180万！@勇哥餐饮原创,25:12,no_ai_zh,经营困境/止损,亏损与现金流、投入过重
BV19njG6NEMK,玄学心灵日咖夜酒！姑娘把兴趣当生意，不撞南墙不回头！@勇哥餐饮原创,24:43,no_ai_zh,其他案例/内容,
BV1PVju6VEFX,私密火锅店，1千平全是包间！年亏200多万！@勇哥餐饮原创,36:19,no_ai_zh,经营困境/止损,亏损与现金流
BV1gWjg6xEeC,亲妈坑儿系列～28万开煮夫糖水，开业四十多天就要没？@勇哥餐饮原创,29:35,saved,其他案例/内容,投入过重
BV1KrjN6BEnS,14年西餐厅老店，巅峰时月销250万，如今月亏6万错在哪？@勇哥餐饮原创,17:56,saved,经营困境/止损,亏损与现金流
BV1PyJG68EBn,大姐赚钱后飘了！去新疆开火锅每天挂0蛋，心急如焚找勇哥 @勇哥餐饮原创,19:49,no_ai_zh,其他案例/内容,
BV1gtJg6YEqw,4个冤种30万开米线，没开业就倒闭！勇哥：就是懒  @勇哥餐饮原创,24:17,no_ai_zh,经营困境/止损,亏损与现金流、投入过重
BV1rxJ36XEUL,加盟蜜雪被骗8万，录音证据确凿！租位置又踩坑！@勇哥餐饮原创,30:15,saved,其他案例/内容,选址与客流、加盟与品牌
BV1SKJu6ZEzR,破农房开漂亮饭！砸17万来装修，房东大爷做梦都能笑醒！@勇哥餐饮原创,24:03,saved,其他案例/内容,投入过重
BV14CJA6uEFq,爱喝酒的姑娘开吨吨桶，刚开业2天4万投入就打水漂？@勇哥餐饮原创,11:04,no_ai_zh,其他案例/内容,投入过重
BV1ZBJw6XEuu,年租金60万的店开餐饮，勇哥：马云来了也不行！@勇哥餐饮原创,20:57,saved,其他案例/内容,
BV1qEJA6xERb,9万开哩厚吃货铺，守着好位置日亏18块！就这招牌谁知道是卖啥的？@勇哥餐饮原创,14:16,no_ai_zh,经营困境/止损,亏损与现金流、选址与客流、投入过重、产品与定价
