bvid,title,stated_requests,diagnosed_risks,request_snippet,question_protocol
BV1Kt7q6hEAr,混音师梦碎北京！开烤肉赔光300万！勇哥：神仙来了也难救！@勇哥餐饮原创,亏损/是否止损,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,老板你这个是我见过我连麦这么久以来就是这种这么小的门头这么小的店一个月能亏十几万的万里挑一啊有这么夸张吗亏了一年多了吧加上我亏损了得有300了吧快300了最后一次戴了拆不下来了齐哈尔烤肉点回骑士什么意思啊就是我歧视人嘛叫今夜回骑士就意思来我们店像回家一骑士一样对回骑士啊让我看一下你后面的招牌呢就没了吗没有了你镜头垂直不用这样镜头垂直你至少应该写个回骑式烤肉嘛大哥后面写的齐哈看我烤肉太小那就你们做事情分不清和主次回骑士这是你的品牌但是你这个品牌你不够响没有人知道你你打这么大干啥呢对吧你后面那个齐齐哈尔烤肉是你的品位那你可不可以把回骑士小一点齐齐哈尔烤肉大一点呢你开门店的你得招牌是给你获客的能理解不能门头要改哈再往后退回骑士齐齐哈而且你看你那个字体又是黑色的现在一天卖多少钱4000左右吧毛利率有多少45%到五十四十八嘛在哪个城市啊北京市朝阳区北京啊对多大面积啊这个店嗯建140使用也就两百两百一左右吧210平米租金多少钱可以7万7万块,先看店外与门头、问当前营业额、确认城市与商圈、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问初始投入与债务、问租约与一次性费用、问经营时长与历史、比较退出与机会成本、问毛利与变动成本、拆分堂食/外卖/渠道
BV1aWj26cE1M,骚年！来爽一把游戏烧烤，免费玩PS5！@勇哥餐饮原创,,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、加盟/接盘/合同风险、人工/产能/交付问题,你觉得这个事情荒唐吗什么叫做靠游戏引流谁会因为你的游戏来你这吃烧烤不可能啊你问一下直播间的这9000个人他们会不会会的扣一不会的扣二欢乐烧烤烧烤加游戏快乐翻几倍呃什么意思没没没太懂就是我们这边就是有好多那个游戏主机就是边吃烧烤边打游戏边吃烧烤边打游戏对呃这这这这在哪研究的因为我之前我的合伙人是之前做游戏这一块的做了很多年嗯打游戏的他顾得上吃烧烤吗吃烧烤的难道不应该是喝酒吗为什么打游戏对啊我们就是想用用游戏这块引流啊啊就也做游戏这块引流也就做一做做一个尝试你打游戏没有没有键盘啊哦你是PSPS几是吧PS5就拿对就PS4Ps5vs7有人在你这儿来消费吗有人我这边是在呃人不多就是我这边是大学城对面对面的一个商业街那你那你到底是打游戏还是吃烧烤我们是想烧烤挣钱呀你游戏这一块是免费的那那我举个例子比如说来你走这对对对着你那那旁边的那个桌子哎哟都是些什么乱七八糟的啊那那那别动别动哈就这那比如说来了四个人就是另外两个坐那边另外两个坐这边然后电视,确认城市与商圈、问当前营业额、问面积与房租、问水电与其他固定支出、问初始投入与债务、先看店外与门头、确认品类与核心产品
BV1fp7P6REjB,敢和老乡鸡PK，负债60万还看不清自己，勇哥怒喷犟种！ @勇哥餐饮原创,开店/选址/签约前判断,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题,想问一下你还有两个超市在开为什么不接着开超市呢因为超市没有现在便利店没有任何的这种就是特色你只要是能办下来验证你就能干人家没有特色不开店嘛是吧你这个跟旁旁边竞争你店小竞争不过他我马上我们这边又要来河马又要来京东什么京东京东什么折扣店你这干不过呀啊我旁边还有零食店啊干了几零食店对就在那个地方那有那边也有个大社区50多栋楼房租9000左右啊嗯稍等一下来那边也是苦苦苦支撑然后当时房东说不租了啊那没办法因为有孩子要养吗那你的那你的超市到时候谁来那个呢我我店里都雇的有人雇的有人那你另外两个超市挣钱吗额挣挣的不多啊就是挣的不多所以说你是因为几万块钱吧我我我捋一下哈就说你年轻的时候在深圳打拼是不是对然后现在上了年纪了就回到老家然后就开超市开了一些年头然后超市发现现在就不挣钱了主要是靠位置所以就想改改行过来做餐饮对因为他想必须有点自己自点自己的特色嘛炒菜搞什么我们自己以前都干过啊啊就以前也开过餐饮店开过开过这个地方有没有给钱没有没有还没开始呢就,问面积与房租、先看店外与门头、问租约与一次性费用、比较退出与机会成本、拆分堂食/外卖/渠道、问经营时长与历史
BV1zBjb6oEri,姑娘要砸17万开杂牌咖啡，12元的冰美式能吸引学生？@勇哥餐饮原创,开店/选址/签约前判断,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题,你把一个即将上市的品牌已经开的很成熟了你要给他转了你要来搞这个我得签你想做的咖啡是什么样的可能美式12块钱卖给谁啊学生学生哈哈哈哈哈呃就是我现在想开一个那个咖啡店然后现在在选铺子寻找位置是吧对然后这个地方是我看上的一个地方九度咖啡小酒馆是吧对在哪个城市啊呃包头包头啊对内蒙古包头对市区县城还是乡镇呃在市区里嗯这个店多大面积呃70多租金多少钱一斤额4万4万是吧4万1年吧啊对对对4万1年3333一个月怎么付的呃年付年付有没有押金没有有没有转让费没有也没有嗯OK准备做什么什么咖啡呃就是那个mix小品牌额对五线品牌的新品牌为什么要做这个呀呃就是我反正是从那个抖音上也总刷到他们直播什么的然后我就感觉我挺喜欢他们的这个模式和他们这些产品的什么模式就是靠那个直播和呃就是做短视频然后去吸引流量那样嘛嗯你会做直播和短视频吗可以学OK开过店没有开过开过什么店上海阿姨沪上阿姨啊对还在开吗额没有那开过货商阿姨不至于说去找这种品牌啊就是感觉挺喜欢啊但是也不,追问客户与消费理由、确认城市与商圈、问面积与房租、问租约与一次性费用、比较退出与机会成本、问人员与老板劳动、问当前营业额、先看店外与门头
BV1cCjH63EEG,投60万卖玉米糖水，月亏2万坚持不住啦！ @勇哥餐饮原创,亏损/是否止损、加盟/接店/转让判断,单位经济与现金流不成立、不可逆投入/沉没成本过高、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,一个月亏2万5680块钱这个店投了六十六十万啊对设计十几万装修十几万设备十几万呃是这样的我是一个商场店然后我在大庆市然后我在绕湖路万达我们这个品牌呢是自创的品牌然后我们是一个玉米工厂做鲜食玉米的这个是属于像我们的线下店然后我就是我现在想但是营业额现在提不上来就是也是给了三个月了嗯是的我想问问他们我现在怎么能调整我是应该把策略把重心放在比如下一步的宣传上还是说我去做一些团购还是应该怎么弄呢就怎么样我能把这个营业额提上来能够能够说盈利吧嗯OK对着你的店吗就你这个店叫小熊拜拜对的自创的品牌自创的是第一主要卖什么呢卖鲜食玉米呃和玉米有关的甜品我给您看一下就是糖水系列的然后还做的是糖水以玉米为主题的对糖水第五面壁无马车然后嗯糖水这些原料这些玉米的原料都是我们工厂自己种的啊啊你们还有工厂是吗对玉米汁儿然后玉米杯OK往后退吧好的往后退吧咋滴你这个是想拿来放加盟的呀切我没想过说做加盟也想过做加做加盟店嘛就是但是就因为这是手电就想把它好好弄一下然,拆分堂食/外卖/渠道、先看店外与门头、确认城市与商圈、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、追问客户与消费理由、问初始投入与债务、问租约与一次性费用、比较退出与机会成本
BV1M1ja6SEa6,80万开演绎酒吧，每月硬亏12万！老板和店长全是酒蒙子，问啥都不知道！  @勇哥餐饮原创,,单位经济与现金流不成立、人工/产能/交付问题、经营者经验/机会成本,四个酒蒙子四个股东加一个店长就说我说的这个店没得救了啊现在开下去就现在是每个月亏12万嘛还请2000块钱的演绎是你们老板喜欢看吗看你们不是有什么特色是老板有点色什么店啊酒吧酒吧呀在哪个城市的酒吧呀西安市你拿着别晃你走出去吧好大门在哪啊大门我给你照大门好你是那种有蹦迪的酒吧还是清酒吧清酒吧清酒吧是吧带带演绎的啊带演绎的啊啊西安现在一天卖多少钱两两三千2000还是3000有哎呀最多的时候就那么多吧上个月余额多少钱不到10万不到10万是多少呃78万吧7万还是8万差不多就那个数也没具体算7万17万27万3你开你的店吗是不是你的店嗯上面有人就是让我老板让过来连的你是什么角色呃店长店长是吧嗯老板让你来连的嗯OK70000块7万5嘛一天2500毛利率多少50OK也就是说1250的毛利多大面积这个店300多300多平300多平还有演绎呢对房租多少钱4万54万5一个月还是一年一个月一个月啊哦一千五一天嗯镜子拿着别晃你别晃过去晃过来的今年多少岁老板,确认城市与商圈、先看店外与门头、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、问初始投入与债务、比较退出与机会成本
BV1NRjF6WEo5,史上最牛烤鱼店！整个楼层全倒闭！8年老店到底有多好吃？（江苏）@勇哥餐饮原创,,不可逆投入/沉没成本过高、产品价值/定价/毛利错误、人工/产能/交付问题、经营者经验/机会成本,问题呢哦对就是我们这个店已经是8年老店了但是我们在这个商场四楼现在目前这一层楼就没家店现在我也不想把它关了然后我就想有什么办法把它优化一点那那商场一层就你一家店对商场新的一层楼就我们一家店了能看到吗不这就是我们家店这个商场这一层全部倒闭呢对对对全部倒呢对这你开了8年对对对这些店多久倒完的嗯今年最后一个倒掉了今年最后一个是多久倒掉的呃两个月前吧两个月前那剩下的是多久倒掉的呃秦岭大吉林一直每年都在倒哪一年每年都得倒掉每年都在倒每年都在倒是吧对对对我的天哪那你是把他们全部给熬走了呀但是但是但是我现在就是我现在就是就是在进就是进退奶奶嘛我又想搬走又舍不得搬走因为这里老客人还比较多想搬走就舍不得搬走对哪个城市南昌江苏南通江苏南昌江苏南通南通是吧对就是整个这个商场四楼你这是几楼四楼四楼就是四楼是吧对餐饮业态就这里就你这一家了对整个商场都快洗白了对对对对对他还收你房租吗收都不肯少还不少对那你这一层楼要给你开空调吗呃没有我自己家在装的空调就是外,确认城市与商圈、比较退出与机会成本、问面积与房租、问当前营业额、问毛利与变动成本、问人员与老板劳动、问水电与其他固定支出、追问客户与消费理由、拆分堂食/外卖/渠道
BV1g6Jj6UEcW,姑娘16万接盘姨妈热饮，起早贪黑仅赚百元！@勇哥餐饮原创,,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题,有什么问题呢嗯我就想要怎么做才能把单量提上去这个店开了多久呢因为我是接接的客接到人家的嘛今年已经第3年了我挡住你的话筒呢啊挡住你的话筒呢刚刚听不见你戴耳机的吗没有没带没带那声音怎么听着变小声了有吗你先出餐嘛先出餐先出餐出完了再说没事你说多少钱接过来的这个店反正总共花了16万就是把这个品牌把这些设备全部接下来吗对等多久接的去年6月份接的啊你先煮完了再说声音太小了在深圳是吧对这个店16万转怪的吗他转让费5万块然后加盟2万装修2万然后还有设备你不是转的他的吗怎么还给加盟费呢要重新另外给啊你是不是挡拿什么东西挡住你的手机话筒呢没有甩一下你的手机进水了甩一下OK镜头高一点好他不是转给你的吗为什么还给转让费加那个加盟费呢嗯转让费是前面那个老板他个人说要转让费的然后加盟费是另外算的就是加盟费还是另外算的就是反正一共就给了16万嘛啊OK被坑了呀怎么找到的是在抖音上去年多久接的去年6月份OK去年生意要好一点是卖多少钱嗯一个月最多的一次是8万多一点,确认品类与核心产品、问当前营业额、确认城市与商圈、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、问租约与一次性费用、比较退出与机会成本、追问客户与消费理由
BV193EC6bEzi,藏族姐妹跑到成都，加盟杂牌奶茶。这次只能认亏？@勇哥餐饮原创,亏损/是否止损,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,少数民族是不是姑娘是藏族亏人工一个月亏3000通过什么软件什么平台怎么找到的通过抖音可能你们到了现场人家一看你们是藏族可能还是有点有点怕你们所说只收了你们3万多块钱你好遇到什么情呢你好这是我们的店铺已经开店了吗店额不好哦已经开业了两个多月三个月了你在哪个城市啊我听你说话怎么有股新疆口音啊不是新疆的我这边是云南香格里拉的云南香格里拉是吧是好不要动对着你的电好呃一天卖多少钱一天两三百两三百额外对二百五嘛几十块钱有时候几十块钱那一个月能卖多少钱三个月卖多少钱上个月差不多卖了一共是五六千左右那就一天就200块钱嘛是的毛利率有多少嗯60%来的算了一下120的毛利是吧是你刚刚说你在哪个城市云南香格里拉云南香格里拉是吧是香格里拉的OK明白那现在这个店铺多大面积呢二十七二十七平对可食用链接是27旁边说话的是你的小姐妹吗嗯是的和我一起的你们合伙创业的嗯哼租金多少钱可以呃一个月2400一年是2万9一天80块钱起源在垫上嗯你平时一个人忙着一个人一个人,确认城市与商圈、问当前营业额、问面积与房租、问水电与其他固定支出、问经营时长与历史、问初始投入与债务、先看店外与门头
BV1fSEi6JErU,姑娘负债400万，瞒着家人开店！勇哥看好～恭喜你！@勇哥餐饮原创,开店/选址/签约前判断,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,遇到什么问题呢哦就是我这个铺面我是5月底才租的我就是我前前段时间不是发了个视频然后他们评论区说让我来联系呃呃跟你连线一下给你呃那个给我评估一下帮我评估一下哪个店是你的啊这个九泰吗九逮九嗯对是的九逮是吧对啊往后退一点就这个铺子很窄很窄吗嗯是的啊卡住了他嗯他就跟旁边这些是一样的只是说它上面这个它多出了一半来我没有那一半就是你我们所看到的就是你搭的这个喷绘布的就只有这么宽是吗哦对是的总的有两层然后再加一个夹层三层然后你发了个视频大家就让你来找我对是的一共三层所以说你你是怎么你是有点慌吗还是怎么啊是是有点慌之前没做过社区店吗那你是想哦你想问一下这个位置行不行是不是啊对是的你在云南的德宏州吗我在昆明哦你在昆明是吧对好你我听你的意思是你以前开过店吗啊我之前是在那个也是在昆明拍的也是这个九代他们在发视频说他们在发发发弹幕说你负债400万你发的视频说你负债400万的吗嗯对是的真的负债400万吗对然后背着家人开的这个是OK能干啊能负债400万能干,先看店外与门头、问经营时长与历史、问面积与房租、问租约与一次性费用、比较退出与机会成本、问人员与老板劳动、问当前营业额、确认品类与核心产品、追问客户与消费理由、拆分堂食/外卖/渠道
BV11SEY6XE8W,神人姐为开店准备8年，勇哥打碎她的白日梦！和家是本坐一桌 @勇哥餐饮原创,请人诊断/优化,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、加盟/接盘/合同风险、人工/产能/交付问题,遇到什么问题呢你好诶李安老师嗯去年其实我这里有一个店铺我已经住下了其实我去年已经让那个老师给我分析了一下但去年他让我不建议做这样我就没有做但现在我呃去年就学习嘛学习你的课课过后今年呢我又想住这个铺子就算让你帮我看一下去你的就这个哪个铺子就这个这个门这个铺子吗对就是那个门店门店的铺子这个你往后退这个铺子的门在哪儿就那个小门吗对铺子的门在这哦你别吓我哟真的是哇门是这个小门还是那个旁边那个卷帘门旁边这个卷帘门但是我们想的话装修的话可能要把那个那个门打到这边就要把这个这个红色的那个这个小门打开是不是要把这个扩宽吗对对对想把它扩宽扩成那个啥扩扩成那边那个卷帘门扩成一个小门这边那个门从这边进OK为什么这样呢因为这边的朝向不是很好因为这边属于我们的一个老街区啊这边呢是一个新的那个楼盘朝向你的意思是从风水的角度来讲不是很好吗不是风水不是风水是因为他这边的话可能这边的人比较好看再贱一点他这边的人他可能看不上见因为这边过去的话就没有多少人OK好对着,先看店外与门头、确认城市与商圈、问面积与房租、问租约与一次性费用、比较退出与机会成本、追问客户与消费理由、问当前营业额
BV1xKE96CEk4,65万开肖蘸米线，负债百万极度自信，不听劝的后果很严重！@勇哥餐饮原创,,单位经济与现金流不成立、不可逆投入/沉没成本过高、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,遇到什么问题呢就是这个这个是我们加盟的一个品牌嘛然后我当时呃在云南看到的这个品牌然后就想把把他带到我们西安来嗯西安你在西安是吧对我在西安OK现在一天卖多少钱现在我我们一天买一天买2000多块钱2000多少两千两千二到2600那算你2400嘛一个月有没有7万2的业绩上个月哦没有啊那上个月有多少业绩哦因为我因为我们这个门店是新开的哈还没还还没到一个月但是我们这边的成本已经远远高高于收益了2400嘛毛利率是多少毛利率是0.6算过的吗1440的毛利房租多少钱一个月房租2万七九百块钱一天啊对多大面积120平租金多少钱一个月啊和平哦那2万7几个人在天上九个人在电上九个人你才卖2400为什么整这么多人因为我们这个厨房标配就要七个人九个人人工多少钱呢九个人呃一个一天的人工也要1000块钱相信你才卖2400你九个人OK水电气多少钱水电气我们我我们压的很低了大差不多一天是200块钱这还叫压得低啊你才卖2400水电机就200就已经占了你的多少啊那个5,问当前营业额、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、问初始投入与债务、先看店外与门头
BV1zRE76PE6M,宝妈加盟杂牌奶茶，一个月亏光50万！@勇哥餐饮原创,提升营业额/单量,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,想问一下这个营业额怎么提升的这个不用提升这些怎么办呢你现在想的是还要提升营业额是吗那提升不了那只能你说的维权啦你在哪个城市啊在江苏省泰州市兴化市市区县城还是乡镇市区吧你连你这个地方是市区县城你都分不清楚吗老板娘这是兴化市吧就兴化市市区嘛不是县城嘛对对对你今天找我是想提升营业额的是不是对OK那你现在一天卖多少钱呢一天就几十块钱也就100多外卖就200左右就外卖平均能做到200是不是对然后一天就只能堂食卖几十一百对那就一天有300块钱营业额是不是对加外卖对OK综合毛利率多少生活毛利他美团现在有的一单都不赚钱综合毛利率算过没有算过反正好像是百他说的50%吧但是外卖不赚钱的那外卖不赚钱那你就是没有毛利率嘛嗯给你算35%吧姑娘很明显你就不会算嘛是不是今年多少岁啦30几30几嗯30几问号三十三十四每天150的毛利105的毛利率105的毛利多大面积这个店铺多大面积30几30多平租金多少钱一个月嗯六五千五千OK几个人在天上三个人三个人5000就,确认城市与商圈、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问经营时长与历史、问水电与其他固定支出、问初始投入与债务、先看店外与门头、问租约与一次性费用、比较退出与机会成本、追问客户与消费理由
BV1dNEu6vEBW,地产大佬的最后一舞！利息还了一个亿。负债千万又开火锅店！@勇哥餐饮原创,,不可逆投入/沉没成本过高、目标客流/可见/转化断裂、加盟/接盘/合同风险、人工/产能/交付问题,想问一下啊等于说你老爸干了六个亏了五个然后还剩一个然后现在就这个又是又是贷款借钱还没还在筹备对那哈那你是希望我能给你解决啥问题呢是这样子一个看吧我看一下这个地方这个就是我们选品有没有什么问题就是因为再然后开了之后就能不能你再看看能不能就维持住维持住这样子的那这个店大概投了多少钱呢这个铁子店就没多少钱了这个店呃里面的话一个房租是16万的一年半年一付它里面大概是400个平这外摆都接近一百一百多那400个平米租金多少钱一个月呢呃16万1年呃那就是反正我还没没准没算一个月你看1万3333所以说其实你还算是个富二代我不是我算富二代但是哎呀这东西就很复杂了我的我的我家富二代就是就是在这个地产没有那个之前你还是享受了这么些年的好日子吗没没享受过你之前我们家里把我养的话当那个圣骑士养的就是那种这又穷养我基本上没接触过这些钱是我出来之后给我爸干了之后我才知道这些东西的嗯明白房租怎么付的半年一付半年一付有没有押金呢押金有有这个我没去问啊因为这不是我,问初始投入与债务、先看店外与门头、确认城市与商圈、问面积与房租、问租约与一次性费用、比较退出与机会成本、确认品类与核心产品
BV1BGE469Ecx,男人至宝法力无边！甲鱼牛鞭煲，勇哥VS犟老板（东莞）@勇哥餐饮原创,提升营业额/单量,目标客流/可见/转化断裂、产品价值/定价/毛利错误、人工/产能/交付问题,遇到什么问题了你这个电呃没遇到什么问题现在主要也就是淡季嘛不好意思我有点绷不住哈有点什么哈哈哈现在主要是淡季嘛现在今年以来呃生意下滑也不说不好下滑了啊然后呢下滑了看请教一下勇哥有什么什么好的方法可以提升一下OK我去退一个菜一个菜好好好你在哪个城市在东莞东莞哈哦东莞那就不奇怪了好的现在一天卖多少钱这个品类还是比较火的对东莞就不奇怪了现在一天卖多少钱现在一天的话也就三四千四五千块钱吧到底是三千四千五千还是多少一个月平均多少钱一个月平均就23万左右加上外卖一天4000毛利率多少毛利率是大概是48%你就拿着镜头别动就直接说啊就直接说百分之多少48是吧48%左右吧1920的毛利OK租金这个别别别转了别转了转的头晕多大面积这个店这个店250平方左右250平租金多少钱一个月租金的话现在是八千八八千八的租金是吧哎也就是说每天的租金293几个人在天上呢五个人五个人人工多少钱呢五个人人工大概是3万3左右就自家人吗哎没有有请人的OK水电器多少钱呢水电,确认城市与商圈、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、先看店外与门头、追问客户与消费理由、拆分堂食/外卖/渠道、确认品类与核心产品
BV1hpEs6uESq,负债加盟杂牌奶茶，6天亏光30万！只因找不到蜜雪官网电话。@勇哥餐饮原创,提升营业额/单量、加盟/接店/转让判断,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,这个店一共投了多少钱一共投了大概现在30多个了负债没有负了呀带的现在负债都得有20多个了就是在抖音上去搜蜜雪冰城的电话号码然后可能信息泄露了吧然后这个人就联系到我爸了诶你好就是这段时间嘛就是生意不太好然后想提升一下这个营业额嘛哪个店是你们的哦镜头高一点对准你们的店桃芒鲜茶这个吗啊就这个对对对就是这个OK现在这个店一天卖多少钱嗯现在这个店的话一天的营业额的话大概是三四百左右卖奶茶的是不是对卖奶茶的350哪个城市啊啊差不多河南周口郸城县河南周口对上面那个县城是吧对对对对对嗯我问一下这是你们当地的什么品牌吗还是说是我哇我从来没有见过是你们当地的品牌吗还是怎么回事还是自创的不是不是这个是最开始我爸想加盟那个蜜雪冰城然后他在抖音上去搜的那个电话号然后结果就是找了个这公司说是呃口感跟蜜雪冰城差不多价格也差不多什么OKOK明白了就想加盟蜜雪又没找到蜜雪嘛是不是对对对对对对开多久呢呃6月1开始试营业然后今天6月7号试营业三天了现在是6月1号才开,问初始投入与债务、问当前营业额、确认城市与商圈、问经营时长与历史、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、先看店外与门头、问租约与一次性费用、比较退出与机会成本
BV1pz7D68Ec9,牛肉汤月亏3万，顾客都是羊毛党！勇哥直言：不想改直接关！@勇哥餐饮原创,,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、人工/产能/交付问题,对面是有一个那个写字楼好多是过来薅羊毛的完了之后呢就不是太那个啥帮他运营了五个月每个月亏3万他原来亏的更多呀勇哥他原来一天的话是1万多的我现在等于是给他拉了一倍了那就等着倒闭就行了唉勇哥嗯你好是这样的我是这个店的话是朋友的我是帮他运营的现在的话主要是想优化你们你们现在一个二个的这么靠谱的吗就是你买的课还是朋友买的课我买的哈哈哈对朋友这么好嗯因为是啥吧因为我这两年接触的也是这个线上就是做这个运营吧我自己想学习一下嗯啊就是这个店是你在帮他运营是吧对但是他这个店的话是呃二你朋友给你钱吗你朋友给你钱吗等有效果了再给也行现在给没给现在没有OK在哪个城市在郑州OK你现在一天卖多少钱呢这个店现在一天的话它好的时候能5000多一般的情况下可能就2000多但是他有特别差的时候就是像周六周天的话可能1000多上个月的营业额多少钱呃5月份的话我今天上午刚看的是8万2666王金点子产嗯对差不多50%1330的毛利房租多少钱一个月多大面积啊他这个店的话是,确认城市与商圈、问当前营业额、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、追问客户与消费理由、比较退出与机会成本
BV1T97663Egd,深圳100万开海南椰子鸡，每天亏1千。到底选址翻车，还是品类选错？@勇哥餐饮原创,提升营业额/单量、亏损/是否止损、产能/人员/运营,单位经济与现金流不成立、不可逆投入/沉没成本过高、目标客流/可见/转化断裂、产品价值/定价/毛利错误、加盟/接盘/合同风险、人工/产能/交付问题、经营者经验/机会成本,每天亏1100一个月亏3万3投了多少钱大概是100个左右整个店的选址选的也非常差劲但是你这个店还能做3000块钱我觉得还是有点出乎意料的开了一家什么店椰子鸡海南椰子鸡是吧是的我说生意不好是不是对生意不好然后这外面的露台也是我们的在哪个城市这是呃深圳OK现在一天卖多少钱现在一天的话日均刚才算了一下日均大概是3000左右毛利率多少买利率百分之呃5.5OK1650的毛利对准你们家的电对着你们家的店这个雅乐园是你们家的店是吧是的为什么叫雅乐园呢听着就像那个莎莎舞厅的名字诶嘿对因为这个店是我呃我爸有一个朋友他之前在在龙岗那边开了一家就还不错然后呢就想着沿用他这个招牌啊就你爸的朋友就开的养乐园是不是对对对OK多大面积啊呃五五百多平500多平啊租金多少钱一个月2万5那你这个地方很偏哦呃也不在沙井在宝安区沙井2万5一个月每天的租金就是833嗯几个人在街上呃九个人六个便便三个厨师还有三个厨子啊对你这个需要什么厨子啊就是一些砍瓜切菜的切鸡的那些这需,问初始投入与债务、确认城市与商圈、问当前营业额、问毛利与变动成本、问面积与房租、问人员与老板劳动、问水电与其他固定支出、问经营时长与历史、拆分堂食/外卖/渠道、先看店外与门头
BV1B37X64Ewy,杀猪菜大厦！7800平面积着实震惊勇哥！（大连）@勇哥餐饮原创,提升营业额/单量,单位经济与现金流不成立、人工/产能/交付问题、经营者经验/机会成本,问题呢啊哈就是生意不好嘛然后看看怎么能改善一下是换个沙锅菜是不是对对对对对呃这个叫什么萧山屯吗哦靠山屯还是萧山屯对对靠靠山屯杀猪菜这一栋楼都是你的吗对二楼三楼四楼五楼六楼六层啊对但是这个六层以上是是我现在给做成公寓了嘛就是就是给这么大一个店啊对给学生做成公寓了给学生做成公寓呢是吧对你你在你在哪个城市哥们大连你现在问题是什么生意不好吗生意不好这个店开多少年哪呃六个月六个月是吧对你主要是做什么就做杀猪菜吗杀猪菜然后大连老菜一共多大面积啊我这块这一层的话是1400平但是我没用那么多然后一层是1410层那对一层是1400多平1000你站远一点我看看你这栋大楼有多大我滴老天呐哎呦我滴妈呀啊到那头都是吗对对对对我滴妈妈呀这二楼三楼四楼五楼都是餐饮啊不是那个345就是上边这种窗户啊是现在我我的那个原来是理工大学的学生公寓然后理工大学把那个学生搬到院里边之后呢现在是大连理工吗对理工大学的学生公寓这个房子是学校的是吧这个现在不是学校的是我自己买的,确认城市与商圈、问面积与房租、问当前营业额、问毛利与变动成本、问水电与其他固定支出、问经营时长与历史
BV1nU7X6wEcr,前唐茶事后续，负债300万老板携手股东再战！ @勇哥餐饮原创,,目标客流/可见/转化断裂、产品价值/定价/毛利错误、人工/产能/交付问题、经营者经验/机会成本,有什么问题我想着看看是加点品还是怎么地呀为什么又要开为什么又要开了呢因为这不是天也热了吗我这你这个不是你这个不是理由天热这个不是理由为什么要开为什么要重新把它打开啊我很好奇因为我现在他们也都股东嘛哈哈股东投资的哈哈还有什么他们投资的吗还有股东啊对呀这个店还有人给你投钱啊对呀要不然我我我那会儿不说要卖呢吗我我进去吧下雨了大哥啊啊啊啊还有人给你投钱啊啊我是一早的时候就就投的吗没有啊刚开始后来嘛那好噻反正去年你把电话都挂了要不就这样对啊我这我这不是想着看看怎么着既然先天热是不是做个外卖看看怎么着那我说你反正去年你都已经把电话挂了要不就就这样啥你这诶你记仇呢你这是还没有我问一下就是这个股东是现在才投建的吗对呀投了多少钱后期一切的嘛就后期的全部他来投对那他占股多少呢40那他全部来投他投了多少钱呢不知道就后期需要需要多少钱吗看看你当时不是整的差不多的吗没有我我后来不是都卖了吗东西啊你把什么卖了原物料呀物料全卖了对呀呃设备卖没卖你这卖我想卖呢,问初始投入与债务、问当前营业额、问面积与房租、问人员与老板劳动、问水电与其他固定支出、先看店外与门头、追问客户与消费理由、问经营时长与历史、确认品类与核心产品
